iter	Logloss
0	0.6904337625
1	0.687956506
2	0.6853924527
3	0.6828059557
4	0.6800528377
5	0.6773941641
6	0.6750938601
7	0.6726609887
8	0.6701266289
9	0.6673521003
10	0.6649742333
11	0.6625056308
12	0.6601875646
13	0.6577882699
14	0.6553981203
15	0.6530995711
16	0.6508231983
17	0.6484966785
18	0.6460589105
19	0.6437430595
20	0.641857514
21	0.6396665071
22	0.6374752789
23	0.635609651
24	0.6334781923
25	0.6315571512
26	0.6295871324
27	0.6274817431
28	0.6255792135
29	0.6238674734
30	0.6222600808
31	0.6204989954
32	0.6187675572
33	0.6168266745
34	0.6151829998
35	0.6137271948
36	0.6120200458
37	0.6102894454
38	0.6087438818
39	0.6070068188
40	0.6054966332
41	0.6037690986
42	0.6021214221
43	0.6005452278
44	0.5987252915
45	0.5971852152
46	0.59559791
47	0.5943123386
48	0.592560595
49	0.5909314456
50	0.5898103799
51	0.5884586543
52	0.5868442025
53	0.5853743233
54	0.5840124705
55	0.5825887894
56	0.5813306541
57	0.5799213766
58	0.5786408618
59	0.5771040153
60	0.5758137861
61	0.5744250036
62	0.5733487423
63	0.5717787549
64	0.5703835891
65	0.5689918444
66	0.5677006755
67	0.5665458723
68	0.5652256289
69	0.5639019756
70	0.5627718817
71	0.5617257884
72	0.5605686523
73	0.5593710891
74	0.5581679369
75	0.5570470878
76	0.5558578101
77	0.5546376422
78	0.5536395228
79	0.5524706265
80	0.5513144714
81	0.5502491258
82	0.5490836338
83	0.548213333
84	0.5474380562
85	0.5462504394
86	0.5452821898
87	0.5445419401
88	0.5435814026
89	0.542685125
90	0.5418720681
91	0.5408967849
92	0.5399576674
93	0.5390991792
94	0.5381478647
95	0.5371792859
96	0.536378487
97	0.5353862425
98	0.5345337929
99	0.533561298
100	0.5325802511
101	0.5316706763
102	0.5306759951
103	0.529685506
104	0.5288285919
105	0.528060141
106	0.5271240618
107	0.526404133
108	0.5255943655
109	0.5247622709
110	0.5237950652
111	0.5231198547
112	0.5224090235
113	0.5216869206
114	0.5208888705
115	0.5202338325
116	0.5194318712
117	0.5185718587
118	0.5179603393
119	0.5172471951
120	0.5164701786
121	0.515784918
122	0.5150841359
123	0.5144945698
124	0.5137709407
125	0.5132242507
126	0.512481165
127	0.511786217
128	0.5110631481
129	0.5103377573
130	0.5096432629
131	0.5089153911
132	0.5082186482
133	0.5075672778
134	0.5071006287
135	0.5064945819
136	0.5059025824
137	0.5053729372
138	0.5047067634
139	0.5040853529
140	0.5036098521
141	0.502940974
142	0.5023339402
143	0.5017038544
144	0.501379883
145	0.5007734248
146	0.500265284
147	0.4996634191
148	0.4990836771
149	0.4986266147
150	0.4980253399
151	0.4973783114
152	0.4968733227
153	0.4963561307
154	0.4957834008
155	0.4951906688
156	0.4949189797
157	0.494472722
158	0.4939558035
159	0.4935666303
160	0.4930680686
161	0.4926915673
162	0.4922313827
163	0.4917505556
164	0.4912197876
165	0.490687319
166	0.4902526328
167	0.4897744575
168	0.4892665904
169	0.4888528725
170	0.4884357282
171	0.4879559038
172	0.4873368271
173	0.4868338356
174	0.4864103568
175	0.486022015
176	0.4855615743
177	0.485167726
178	0.4846635923
179	0.4843027115
180	0.4838092792
181	0.4834198781
182	0.4830374063
183	0.4826125233
184	0.4821102973
185	0.4817408749
186	0.4812612066
187	0.4808690973
188	0.4804069435
189	0.4799621295
190	0.4795291976
191	0.4791770968
192	0.4787239911
193	0.4784362777
194	0.4780870778
195	0.477697188
196	0.4772612824
197	0.4769250776
198	0.4766062753
199	0.4762885745
200	0.4759050263
201	0.4755447052
202	0.4751302513
203	0.4747770265
204	0.4743778301
205	0.4740983943
206	0.4738851801
207	0.4735981194
208	0.4732867358
209	0.473041035
210	0.4728299374
211	0.4725034599
212	0.4721301538
213	0.4717756636
214	0.4714500031
215	0.4710658712
216	0.4706624389
217	0.4704066014
218	0.4700072409
219	0.4696650804
220	0.4693430766
221	0.4690873625
222	0.4687343902
223	0.4684776691
224	0.4681763297
225	0.4678290268
226	0.4674684118
227	0.4671189522
228	0.4668554599
229	0.4665299668
230	0.4662246433
231	0.4658704582
232	0.4655347537
233	0.4652300203
234	0.4649984831
235	0.464743934
236	0.4644428755
237	0.4641885009
238	0.4639749468
239	0.463698957
240	0.46338666
241	0.4631351216
242	0.4628476213
243	0.4626035477
244	0.4623961359
245	0.462097822
246	0.461843917
247	0.4616633643
248	0.461366645
249	0.4609949699
250	0.4607569081
251	0.4605894481
252	0.4603920132
253	0.4600739847
254	0.4598227063
255	0.4594909943
256	0.4592561028
257	0.4590308376
258	0.4588105462
259	0.4585491372
260	0.4583092786
261	0.458046301
262	0.4578520465
263	0.4576536047
264	0.4574187433
265	0.4572310428
266	0.4570042348
267	0.4567968285
268	0.4566018464
269	0.4564177358
270	0.456190258
271	0.4559198482
272	0.4556908674
273	0.4553828016
274	0.4551587148
275	0.4549198772
276	0.4547211536
277	0.4544877805
278	0.4542260351
279	0.453991405
280	0.4537766285
281	0.4535528428
282	0.4534152395
283	0.4532586007
284	0.4529644394
285	0.452748225
286	0.4525509627
287	0.4522824558
288	0.4520673056
289	0.4517980187
290	0.4516530087
291	0.4514687609
292	0.4512516826
293	0.4510400694
294	0.4509003053
295	0.4507705721
296	0.4505444565
297	0.450360974
298	0.4501865154
299	0.4499487934
300	0.4496923674
301	0.4494605997
302	0.4492638418
303	0.4490843778
304	0.4488597808
305	0.4486671225
306	0.4485003788
307	0.4483221764
308	0.4481491356
309	0.447946852
310	0.4477421214
311	0.447530568
312	0.4473406394
313	0.4471683194
314	0.4469824366
315	0.4468540919
316	0.4466160515
317	0.446417661
318	0.4462246941
319	0.4460371745
320	0.4458654262
321	0.4456841206
322	0.4455291783
323	0.4453383745
324	0.4451993464
325	0.4450383341
326	0.4449057227
327	0.444769195
328	0.444578709
329	0.4444198585
330	0.4442788641
331	0.4441218759
332	0.4439424086
333	0.4438081972
334	0.4436648386
335	0.44348462
336	0.443332872
337	0.4431962907
338	0.4429941973
339	0.4428013895
340	0.4426328699
341	0.4425039604
342	0.4423019346
343	0.4421351186
344	0.4419306442
345	0.4417701355
346	0.4415849969
347	0.441467672
348	0.4413015685
349	0.4410800186
350	0.4409378147
351	0.4407642284
352	0.4406228305
353	0.4405014802
354	0.4403857121
355	0.440219315
356	0.4400601151
357	0.4399124459
358	0.4397767213
359	0.4396683445
360	0.4394825753
361	0.4393106563
362	0.4391859978
363	0.4390618635
364	0.438967744
365	0.4387952639
366	0.438638641
367	0.4384816351
368	0.4383734292
369	0.4382756679
370	0.4381128744
371	0.4379035857
372	0.4377552342
373	0.437664799
374	0.4375294764
375	0.4373886463
376	0.437261908
377	0.4371495037
378	0.4370214909
379	0.4369285885
380	0.4368170865
381	0.4366917597
382	0.4365864227
383	0.4364187226
384	0.4363061687
385	0.4361721943
386	0.4360386858
387	0.4358589407
388	0.4357398325
389	0.4355970868
390	0.4354868864
391	0.4354036722
392	0.4352675898
393	0.4351267691
394	0.4349911662
395	0.4348851918
396	0.4347819859
