iter	Passed	Remaining
401	13316	19809
402	13351	19778
403	13379	19738
404	13408	19699
405	13438	19660
406	13467	19621
407	13495	19581
408	13524	19542
409	13553	19503
410	13585	19469
411	13613	19428
412	13645	19394
413	13677	19360
414	13711	19328
415	13744	19294
416	13774	19258
417	13807	19224
418	13841	19193
419	13875	19160
420	13914	19137
421	13951	19109
422	14028	19135
423	14157	19232
424	14185	19191
425	14218	19158
426	14246	19118
427	14276	19079
428	14306	19042
429	14332	18998
430	14360	18957
431	14391	18922
432	14419	18881
433	14477	18880
434	14507	18843
435	14534	18801
436	14568	18768
437	14598	18731
438	14627	18692
439	14655	18652
440	14708	18643
441	14739	18607
442	14768	18568
443	14795	18527
444	14826	18491
445	14851	18448
446	14879	18408
447	14910	18371
448	14939	18333
449	14969	18296
450	15003	18264
451	15030	18223
452	15063	18189
453	15093	18151
454	15119	18110
455	15148	18071
456	15175	18031
457	15203	17992
458	15230	17951
459	15265	17920
460	15292	17880
461	15321	17842
462	15351	17805
463	15379	17765
464	15408	17727
465	15439	17692
466	15467	17653
467	15494	17613
468	15524	17576
469	15557	17543
470	15584	17503
471	15611	17463
472	15639	17425
473	15666	17384
474	15693	17345
475	15722	17307
476	15754	17273
477	15788	17241
478	15816	17203
479	15844	17164
480	15872	17126
481	15902	17090
482	15932	17053
483	15958	17014
484	15984	16973
485	16015	16938
486	16051	16908
487	16083	16874
488	16111	16836
489	16138	16797
490	16168	16761
491	16198	16725
492	16231	16692
493	16264	16659
494	16294	16623
495	16325	16588
496	16351	16548
497	16380	16512
498	16409	16475
499	16438	16438
500	16464	16399
501	16498	16367
502	16525	16328
503	16562	16300
504	16594	16265
505	16624	16230
506	16650	16191
507	16678	16152
508	16707	16116
509	16733	16077
510	16762	16041
511	16793	16006
512	16824	15971
513	16951	16028
514	16995	16005
515	17024	15969
516	17054	15932
517	17082	15895
518	17116	15863
519	17144	15825
520	17173	15788
521	17200	15750
522	17227	15712
523	17266	15685
524	17295	15648
525	17324	15611
526	17350	15573
527	17387	15543
528	17414	15505
529	17443	15468
530	17471	15431
531	17502	15397
532	17537	15365
533	17569	15332
534	17601	15298
535	17634	15265
536	17664	15230
537	17691	15192
538	17719	15155
539	17744	15115
540	17775	15081
541	17805	15045
542	17833	15008
543	17859	14970
544	17894	14939
545	17922	14902
546	17950	14865
547	17977	14827
548	18006	14791
549	18037	14757
550	18068	14723
551	18096	14686
552	18123	14649
553	18153	14614
554	18185	14580
555	18210	14542
556	18241	14507
557	18272	14474
558	18301	14438
559	18328	14401
560	18356	14364
561	18385	14328
562	18413	14292
563	18444	14258
564	18472	14221
565	18498	14184
566	18532	14152
567	18566	14120
568	18596	14086
569	18623	14049
570	18650	14012
571	18685	13981
572	18714	13945
573	18743	13910
574	18769	13873
575	18799	13838
576	18826	13801
577	18856	13766
578	18883	13730
579	18913	13695
580	18941	13659
581	18973	13627
582	19000	13590
583	19032	13557
584	19061	13522
585	19089	13486
586	19115	13449
587	19145	13414
588	19172	13378
589	19200	13342
590	19236	13312
591	19265	13277
592	19293	13241
593	19319	13204
594	19350	13171
595	19378	13135
596	19404	13098
597	19434	13064
598	19463	13029
599	19499	12999
600	19531	12967
601	19563	12934
602	19593	12899
603	19619	12862
604	19649	12828
605	19677	12793
606	19705	12758
607	19735	12724
608	19897	12774
609	19927	12740
610	19956	12705
611	19987	12671
612	20020	12639
613	20049	12604
614	20076	12568
615	20101	12530
616	20129	12495
617	20159	12460
618	20188	12426
619	20223	12395
620	20255	12361
